,new_epitope_a,new_epitope_b,new_epitope_c,new_epitope_d,new_epitope_e,label
787,0,1,0,0,0,0.104
788,0,1,0,0,0,0.182
789,0,3,0,1,0,0.429
790,3,3,1,1,0,0.533
791,3,4,1,0,0,0.936
792,3,2,1,0,0,0.987
793,2,2,0,1,0,0.987
794,2,2,1,2,0,1.405
795,2,2,1,1,0,1.788
796,1,4,0,1,1,2.266
797,0,4,0,1,0,-0.01
798,2,3,0,1,0,0.144
799,3,2,0,0,0,0.417
800,0,3,1,1,0,0.538
801,2,3,4,1,0,0.557
802,3,2,0,0,0,0.622
803,0,5,6,4,1,0.77
804,3,3,0,1,0,0.955
805,2,3,0,1,0,1.113
806,3,4,0,2,0,1.693
807,3,4,0,1,0,1.82
808,3,4,0,2,0,1.887
809,3,5,0,1,3,1.972
810,1,3,4,5,1,2.11
811,2,5,1,2,1,2.113
812,3,4,0,2,0,2.139
813,1,3,1,2,0,2.268
814,2,6,1,2,0,2.954
815,3,3,0,1,0,3.057
816,3,4,0,2,0,3.089
817,2,5,1,2,0,3.108
818,2,5,1,3,0,3.113
819,3,7,1,2,0,3.244
820,3,5,0,2,0,3.405
821,3,3,1,2,0,3.613
822,3,4,0,2,0,3.719
823,2,5,1,2,0,3.82
824,3,5,1,2,0,3.905
825,3,4,0,2,0,4.113
826,2,5,1,2,0,5.113
827,0,0,1,0,0,1.441
828,2,1,4,0,0,1.983
829,1,1,4,4,1,2.339
830,0,2,0,0,0,-0.637
831,0,0,1,0,0,0.286
832,2,1,4,0,0,0.567
833,1,1,4,4,1,1.317
834,0,3,0,2,0,0.432
835,0,3,4,2,0,1.196
836,0,3,0,1,0,1.226
837,0,2,1,1,0,1.285
838,0,5,6,4,1,1.503
839,2,3,4,1,0,1.523
840,2,3,0,1,0,1.84
841,1,3,4,5,1,3.225
842,3,3,0,0,0,0.036
843,1,2,4,0,0,0.203
844,2,3,0,0,0,0.524
845,0,2,1,0,0,0.537
846,2,3,4,0,0,0.697
847,2,3,4,0,0,0.816
848,0,2,0,0,0,0.901
849,3,3,3,0,0,1.816
850,2,2,1,1,0,0.157
851,1,1,1,0,0,0.219
